Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	6	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		174
Number_of_Objects:		6
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	  340[06]	  380[06]	 Ca++[06]	
    0.23	      212	      248	       57	       90	       89	      101	      185	      213	       60	      266	      283	       81	      200	      138	      201	      193	      196	       93	
    2.28	      214	      246	       61	       92	       87	      111	      187	      212	       64	      268	      281	       85	      202	      136	      209	      194	      194	       98	
    4.33	      214	      247	       60	       92	       87	      110	      187	      211	       65	      268	      280	       86	      202	      136	      208	      195	      194	       98	
    6.37	      214	      245	       62	       92	       85	      117	      187	      210	       67	      269	      279	       88	      201	      134	      211	      194	      193	      100	
    8.42	      214	      245	       62	       92	       85	      117	      187	      210	       67	      269	      279	       88	      201	      134	      212	      195	      193	      100	
   10.47	      212	      247	       58	       89	       87	      105	      185	      213	       61	      267	      281	       84	      199	      137	      202	      193	      195	       95	
   12.52	      213	      245	       60	       90	       85	      111	      185	      211	       63	      267	      280	       84	      199	      135	      206	      193	      193	       98	
   14.52	      213	      246	       59	       90	       87	      106	      186	      212	       62	      268	      282	       84	      199	      137	      201	      193	      195	       95	
   16.56	      215	      246	       61	       92	       87	      113	      187	      213	       64	      270	      282	       86	      201	      137	      204	      194	      195	       97	
   18.61	      215	      247	       61	       92	       87	      110	      187	      212	       64	      269	      283	       84	      200	      137	      204	      194	      194	       97	
