Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	5	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		484
Number_of_Objects:		5
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	
    0.23	      110	      110	       97	       94	       85	      121	      252	      293	       58	      197	      227	       60	      206	      227	       71	
    2.23	      110	      110	       97	       94	       86	      119	      251	      293	       57	      197	      227	       60	      206	      228	       70	
    4.23	      110	      110	       98	       94	       86	      118	      252	      293	       57	      197	      227	       60	      206	      228	       71	
    6.23	      112	      110	      101	       96	       86	      126	      254	      294	       59	      199	      227	       63	      207	      228	       72	
    8.23	      110	      110	       98	       93	       86	      118	      252	      293	       58	      197	      227	       60	      206	      228	       70	
   10.23	      109	      110	       96	       93	       86	      119	      251	      293	       57	      197	      227	       60	      205	      228	       70	
   12.23	      110	      110	       97	       94	       86	      119	      252	      293	       57	      197	      227	       60	      205	      228	       69	
   14.23	      110	      108	      101	       93	       83	      125	      252	      291	       59	      197	      225	       63	      205	      227	       71	
   16.23	      110	      110	       96	       93	       86	      118	      252	      293	       58	      197	      227	       60	      205	      228	       69	
   18.23	      110	      108	      101	       93	       83	      125	      252	      291	       59	      197	      225	       63	      206	      226	       72	
   20.23	      110	      106	      106	       94	       81	      133	      252	      289	       61	      197	      223	       65	      206	      224	       76	
   22.23	      110	      110	       96	       93	       86	      117	      252	      293	       58	      197	      227	       60	      206	      228	       70	
   24.23	      110	      108	      101	       93	       83	      126	      252	      290	       60	      197	      225	       62	      205	      226	       72	
