Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	5	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		362
Number_of_Objects:		5
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	
    0.23	      198	      222	       68	      292	      312	       79	       99	       91	      117	      251	      291	       58	      278	      287	       89	
    2.23	      200	      222	       70	      294	      313	       81	      101	       91	      124	      253	      291	       60	      280	      287	       91	
    4.23	      200	      222	       70	      294	      312	       81	      101	       91	      124	      253	      291	       60	      281	      287	       92	
    6.23	      201	      222	       71	      294	      312	       81	      101	       91	      124	      253	      291	       60	      281	      288	       92	
    8.23	      201	      222	       71	      294	      312	       81	      101	       91	      122	      252	      291	       60	      281	      287	       92	
   10.23	      199	      220	       71	      292	      310	       81	       99	       89	      125	      251	      290	       60	      279	      284	       92	
   12.23	      200	      222	       71	      294	      312	       82	      101	       91	      122	      253	      291	       60	      280	      286	       92	
   14.23	      198	      222	       68	      293	      312	       81	      101	       91	      122	      252	      291	       60	      281	      287	       92	
   16.23	      198	      222	       67	      292	      309	       81	       99	       89	      123	      250	      289	       60	      279	      285	       92	
   18.23	      200	      220	       72	      294	      310	       83	      101	       89	      128	      253	      289	       62	      280	      285	       94	
   20.23	      199	      221	       69	      292	      312	       80	       99	       91	      118	      250	      290	       59	      278	      286	       90	
   22.23	      198	      223	       66	      292	      314	       78	       99	       93	      112	      251	      290	       59	      279	      286	       90	
   24.23	      199	      220	       70	      292	      309	       82	       99	       89	      125	      251	      289	       61	      278	      285	       91	
   26.23	      200	      221	       71	      293	      311	       82	      101	       91	      122	      252	      290	       60	      280	      286	       92	
   28.23	      198	      222	       67	      292	      310	       81	       98	       89	      122	      251	      288	       61	      278	      284	       92	
   30.23	      198	      220	       70	      292	      310	       82	       99	       89	      122	      251	      288	       61	      278	      284	       92	
   32.23	      200	      220	       73	      294	      309	       84	      101	       89	      129	      253	      288	       63	      281	      283	       95	
   34.23	      200	      223	       68	      294	      311	       82	      101	       91	      122	      253	      290	       61	      280	      285	       93	
   36.23	      200	      224	       68	      294	      313	       80	      101	       93	      117	      253	      290	       61	      281	      285	       93	
   38.23	      198	      222	       68	      292	      311	       81	       99	       91	      119	      251	      290	       59	      279	      286	       91	
   40.23	      200	      222	       70	      294	      311	       83	      101	       91	      122	      253	      290	       61	      280	      286	       92	
   42.23	      198	      222	       67	      293	      311	       81	       99	       91	      118	      251	      290	       60	      278	      285	       91	
   44.23	      200	      220	       72	      294	      309	       84	      101	       89	      130	      253	      288	       63	      280	      284	       94	
   46.23	      200	      219	       73	      294	      308	       85	      101	       88	      129	      252	      288	       63	      280	      283	       95	
   48.23	      200	      220	       71	      294	      309	       84	      101	       89	      129	      252	      288	       63	      280	      283	       94	
   50.23	      200	      221	       70	      294	      310	       83	      101	       91	      123	      253	      290	       61	      281	      285	       93	
   52.23	      200	      219	       73	      294	      309	       84	      101	       89	      129	      253	      288	       63	      280	      283	       95	
   54.23	      200	      220	       72	      293	      310	       83	      101	       88	      131	      252	      288	       62	      280	      283	       95	
   56.23	      198	      221	       68	      292	      311	       80	       98	       91	      117	      251	      289	       59	      278	      285	       90	
   58.23	      200	      221	       70	      294	      311	       82	      101	       91	      123	      253	      289	       61	      280	      285	       93	
   60.23	      200	      221	       70	      294	      311	       82	      101	       91	      122	      253	      289	       62	      279	      285	       92	
   62.23	      200	      221	       70	      294	      311	       82	      101	       91	      123	      253	      289	       62	      280	      285	       92	
   64.23	      198	      224	       65	      292	      311	       80	       99	       91	      117	      251	      289	       60	      278	      285	       91	
   66.23	      198	      220	       69	      292	      309	       82	       99	       89	      126	      251	      288	       61	      278	      283	       92	
   68.23	      200	      223	       68	      293	      313	       80	      101	       93	      117	      252	      292	       59	      280	      287	       90	
   70.23	      198	      221	       67	      292	      310	       81	       99	       91	      118	      251	      290	       60	      277	      285	       90	
   72.23	      200	      221	       70	      294	      311	       82	      101	       91	      122	      252	      289	       61	      279	      285	       92	
   74.23	      198	      221	       67	      292	      311	       80	       99	       91	      118	      251	      289	       60	      278	      285	       91	
   76.23	      198	      219	       70	      293	      309	       83	      101	       89	      129	      253	      287	       64	      279	      282	       95	
   78.23	      198	      221	       68	      292	      311	       80	       98	       91	      116	      251	      289	       60	      277	      285	       90	
   80.23	      198	      220	       69	      291	      309	       82	       99	       89	      124	      251	      287	       62	      277	      282	       93	
   82.23	      197	      223	       65	      292	      310	       81	       99	       91	      118	      250	      290	       59	      277	      285	       90	
   84.23	      199	      221	       69	      294	      309	       84	      101	       88	      130	      253	      287	       64	      279	      282	       94	
   86.23	      199	      219	       72	      293	      308	       84	      101	       88	      131	      252	      287	       63	      278	      282	       94	
   88.23	      199	      221	       70	      294	      310	       83	      101	       91	      123	      252	      289	       62	      279	      284	       93	
   90.23	      197	      222	       67	      292	      310	       81	       99	       91	      117	      250	      289	       60	      277	      285	       90	
   92.23	      198	      219	       70	      292	      307	       84	       99	       88	      125	      251	      287	       62	      277	      282	       92	
   94.23	      200	      219	       73	      293	      308	       84	      101	       88	      130	      252	      286	       64	      279	      282	       94	
   96.23	      198	      222	       67	      292	      308	       83	       99	       89	      124	      250	      287	       61	      278	      283	       93	
   98.23	      199	      221	       70	      294	      311	       82	      101	       91	      123	      252	      289	       61	      279	      284	       92	
  100.23	      199	      221	       70	      293	      310	       82	      101	       91	      123	      252	      289	       62	      279	      284	       93	
  102.23	      200	      221	       70	      294	      310	       83	      101	       91	      122	      252	      289	       62	      279	      284	       93	
  104.23	      200	      221	       70	      294	      311	       82	      101	       91	      123	      252	      289	       62	      279	      284	       93	
  106.23	      200	      221	       70	      293	      310	       82	      101	       91	      123	      253	      289	       62	      279	      284	       93	
  108.23	      197	      219	       70	      291	      309	       81	       99	       89	      124	      251	      287	       62	      277	      282	       92	
  110.23	      199	      221	       70	      293	      310	       82	      101	       91	      121	      252	      288	       62	      279	      284	       92	
  112.23	      200	      219	       73	      293	      308	       84	      101	       89	      129	      252	      287	       63	      278	      282	       94	
  114.23	      197	      223	       65	      291	      313	       78	       99	       93	      111	      250	      291	       57	      276	      286	       88	
  116.23	      197	      219	       69	      291	      309	       81	       98	       89	      123	      250	      287	       61	      277	      282	       93	
  118.23	      197	      221	       68	      291	      310	       80	       99	       91	      117	      250	      288	       60	      277	      283	       92	
  120.23	      198	      223	       66	      291	      313	       78	       99	       93	      112	      251	      291	       59	      276	      285	       89	
  122.23	      197	      221	       68	      291	      310	       80	       98	       91	      115	      250	      288	       60	      276	      284	       90	
  124.23	      199	      219	       72	      293	      308	       84	      101	       89	      130	      252	      287	       64	      278	      281	       95	
  126.23	      199	      219	       72	      293	      308	       84	      101	       89	      130	      252	      287	       64	      278	      282	       94	
  128.23	      199	      221	       70	      293	      309	       83	      101	       89	      129	      253	      286	       65	      279	      281	       95	
  130.23	      197	      219	       69	      291	      309	       81	       99	       89	      124	      251	      286	       63	      276	      282	       92	
  132.23	      197	      221	       66	      290	      310	       79	       98	       91	      117	      250	      288	       61	      276	      284	       91	
  134.23	      199	      219	       72	      293	      308	       84	      101	       88	      130	      253	      286	       65	      278	      281	       95	
  136.23	      198	      221	       69	      293	      310	       82	      101	       91	      122	      253	      288	       62	      278	      284	       92	
  138.23	      199	      220	       70	      292	      310	       82	      100	       91	      122	      253	      288	       63	      278	      283	       92	
  140.23	      199	      218	       73	      292	      308	       83	      101	       89	      129	      252	      286	       64	      277	      282	       93	
  142.23	      197	      223	       65	      290	      310	       79	       99	       91	      117	      250	      288	       60	      277	      283	       92	
  144.23	      197	      218	       69	      291	      308	       82	       99	       88	      126	      251	      286	       63	      276	      281	       93	
  146.23	      198	      221	       69	      293	      310	       82	      101	       91	      123	      252	      287	       63	      278	      283	       93	
  148.23	      198	      219	       71	      292	      308	       83	      101	       88	      130	      252	      285	       65	      278	      281	       95	
  150.23	      199	      221	       69	      292	      310	       82	      101	       91	      123	      252	      287	       63	      278	      283	       93	
  152.23	      197	      220	       67	      290	      310	       79	       99	       91	      118	      250	      287	       61	      276	      283	       91	
  154.23	      197	      220	       67	      290	      310	       80	       98	       91	      116	      250	      287	       61	      276	      283	       90	
  156.23	      197	      219	       70	      290	      308	       81	       99	       89	      125	      250	      285	       63	      276	      281	       92	
