Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	5	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		354
Number_of_Objects:		5
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	
    0.23	      181	      216	       52	      140	      155	       72	       85	       80	      113	      223	      272	       47	      261	      299	       62	
    2.28	      185	      213	       60	      145	      154	       82	       90	       78	      132	      227	      270	       52	      266	      297	       68	
    4.33	      185	      213	       61	      144	      153	       82	       90	       78	      134	      227	      270	       53	      265	      297	       67	
    6.38	      184	      213	       58	      143	      153	       78	       88	       78	      127	      225	      270	       50	      263	      297	       66	
    8.42	      186	      213	       61	      144	      153	       83	       90	       78	      133	      227	      270	       52	      265	      297	       67	
   10.42	      185	      214	       60	      144	      155	       79	       89	       80	      125	      227	      272	       51	      265	      299	       66	
   12.47	      184	      213	       59	      143	      153	       78	       87	       78	      126	      225	      270	       50	      263	      297	       65	
   14.52	      186	      213	       62	      144	      153	       81	       90	       78	      132	      227	      270	       52	      265	      297	       68	
   16.56	      186	      213	       62	      144	      153	       81	       90	       78	      133	      227	      270	       52	      265	      296	       68	
   18.61	      184	      213	       59	      142	      153	       79	       88	       78	      125	      225	      270	       50	      263	      296	       66	
   20.66	      186	      213	       62	      144	      153	       83	       90	       78	      132	      227	      269	       53	      265	      296	       68	
   22.70	      184	      212	       60	      143	      153	       79	       87	       78	      125	      225	      270	       50	      264	      296	       67	
   24.75	      186	      212	       62	      145	      153	       82	       89	       78	      132	      227	      270	       53	      266	      296	       69	
   26.75	      186	      214	       60	      144	      155	       78	       89	       80	      124	      227	      272	       51	      266	      298	       67	
   28.80	      184	      210	       63	      143	      150	       83	       88	       76	      133	      225	      267	       53	      263	      295	       68	
   30.84	      184	      213	       60	      143	      153	       79	       87	       78	      125	      225	      270	       50	      264	      296	       67	
   32.84	      186	      214	       60	      144	      154	       80	       90	       80	      127	      227	      272	       51	      266	      298	       67	
   34.89	      186	      212	       63	      145	      153	       82	       89	       78	      132	      227	      270	       53	      266	      296	       69	
   36.94	      184	      212	       60	      143	      152	       80	       88	       78	      125	      225	      270	       51	      264	      296	       66	
   38.98	      184	      212	       60	      142	      153	       79	       87	       78	      123	      225	      270	       51	      264	      296	       67	
   41.03	      184	      212	       60	      143	      153	       79	       88	       78	      125	      225	      270	       51	      264	      297	       67	
   43.08	      186	      212	       62	      145	      153	       83	       90	       79	      131	      227	      270	       53	      266	      297	       68	
   45.08	      185	      214	       60	      145	      153	       83	       90	       78	      134	      227	      270	       53	      266	      297	       68	
   47.13	      184	      212	       59	      142	      152	       79	       87	       78	      124	      225	      270	       51	      263	      297	       65	
   49.17	      184	      212	       59	      143	      152	       80	       87	       78	      125	      225	      269	       51	      263	      297	       65	
   51.22	      186	      212	       62	      145	      152	       85	       90	       78	      132	      227	      269	       53	      265	      298	       66	
   53.22	      184	      214	       58	      143	      153	       80	       87	       78	      125	      226	      269	       51	      263	      298	       65	
   55.27	      183	      213	       59	      143	      152	       80	       87	       78	      124	      226	      269	       52	      263	      297	       65	
   57.31	      184	      213	       59	      142	      153	       78	       87	       78	      126	      225	      270	       51	      262	      297	       64	
   59.31	      184	      215	       57	      143	      155	       76	       88	       80	      119	      225	      271	       49	      263	      299	       63	
   61.36	      186	      212	       62	      144	      152	       83	       90	       77	      134	      227	      270	       53	      265	      297	       67	
   63.41	      186	      213	       62	      145	      153	       83	       90	       78	      132	      227	      269	       53	      265	      297	       67	
   65.45	      185	      212	       61	      144	      152	       83	       89	       78	      131	      227	      269	       53	      265	      297	       67	
   67.50	      184	      212	       60	      143	      153	       79	       88	       78	      128	      225	      269	       50	      263	      297	       65	
   69.55	      185	      212	       61	      144	      152	       83	       90	       78	      132	      227	      270	       52	      265	      297	       67	
   71.59	      183	      212	       59	      142	      152	       79	       87	       78	      123	      225	      270	       51	      263	      297	       66	
   73.59	      186	      214	       60	      144	      154	       80	       89	       80	      123	      227	      271	       51	      265	      299	       65	
