Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	7	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		139
Number_of_Objects:		7
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	  340[06]	  380[06]	 Ca++[06]	  340[07]	  380[07]	 Ca++[07]	
    0.23	      105	      114	       75	      151	      176	       58	      151	      172	       64	      173	      203	       56	      181	      210	       58	      101	       89	      128	      184	      223	       48	
    2.28	      105	      114	       76	      151	      176	       57	      152	      172	       64	      173	      203	       56	      181	      210	       58	      102	       89	      131	      184	      223	       48	
    4.33	      107	      113	       82	      153	      176	       61	      154	      172	       67	      175	      203	       58	      183	      210	       61	      103	       89	      134	      186	      223	       50	
    6.38	      105	      114	       76	      151	      176	       58	      152	      172	       64	      173	      203	       55	      180	      210	       58	      101	       89	      129	      184	      223	       48	
    8.42	      105	      114	       76	      151	      176	       57	      152	      172	       64	      173	      204	       55	      181	      210	       58	      101	       89	      129	      184	      224	       47	
   10.47	      105	      114	       76	      151	      176	       57	      151	      172	       63	      173	      204	       55	      181	      210	       58	      101	       89	      130	      184	      224	       47	
   12.52	      105	      112	       81	      151	      174	       60	      151	      170	       66	      173	      202	       57	      181	      209	       60	      101	       87	      137	      184	      222	       49	
   14.56	      105	      114	       77	      151	      177	       57	      151	      172	       63	      173	      204	       55	      181	      210	       58	      101	       88	      132	      184	      224	       48	
   16.61	      107	      112	       87	      152	      175	       60	      152	      170	       67	      171	      202	       54	      179	      208	       58	       99	       86	      133	      182	      222	       47	
   18.66	      107	      114	       81	      151	      177	       57	      151	      172	       64	      171	      204	       52	      179	      211	       55	       99	       89	      123	      182	      224	       44	
   20.70	      105	      114	       76	      151	      177	       57	      152	      172	       64	      173	      204	       54	      181	      211	       57	      101	       89	      130	      184	      224	       48	
   22.75	      107	      114	       82	      152	      176	       58	      152	      172	       64	      171	      204	       52	      179	      211	       54	       99	       89	      123	      182	      224	       45	
   24.80	      107	      115	       78	      153	      178	       57	      153	      174	       64	      175	      206	       55	      182	      213	       57	      103	       91	      128	      186	      226	       47	
   26.84	      107	      114	       81	      151	      177	       57	      152	      172	       64	      171	      204	       51	      179	      211	       55	       99	       89	      124	      182	      224	       45	
   28.89	      107	      114	       80	      151	      177	       56	      152	      172	       63	      171	      204	       52	      178	      211	       54	      100	       89	      125	      182	      224	       45	
   30.94	      105	      112	       79	      152	      174	       61	      152	      170	       67	      172	      202	       56	      180	      209	       59	      101	       87	      136	      184	      222	       49	
   32.98	      108	      114	       82	      151	      177	       57	      151	      172	       64	      171	      204	       52	      179	      211	       54	       99	       89	      124	      182	      224	       44	
   35.03	      105	      114	       76	      151	      177	       57	      151	      173	       63	      173	      205	       53	      180	      212	       55	      101	       89	      129	      184	      224	       47	
   37.08	      105	      114	       75	      151	      177	       57	      151	      172	       63	      173	      204	       54	      181	      211	       56	      101	       89	      130	      184	      224	       47	
   39.13	      105	      114	       77	      151	      177	       56	      151	      172	       63	      173	      205	       53	      180	      211	       56	      101	       89	      129	      184	      224	       47	
   41.17	      107	      113	       82	      153	      177	       59	      153	      172	       65	      173	      205	       53	      180	      211	       56	      101	       89	      129	      184	      224	       47	
   43.22	      107	      112	       86	      153	      175	       62	      153	      170	       70	      173	      203	       56	      180	      209	       58	      101	       87	      136	      184	      222	       49	
   45.22	      105	      114	       75	      151	      177	       56	      151	      172	       63	      173	      205	       53	      180	      212	       55	      101	       89	      130	      184	      224	       47	
   47.27	      107	      114	       81	      152	      177	       58	      152	      172	       63	      171	      205	       50	      179	      211	       54	       99	       89	      125	      182	      224	       44	
   49.31	      107	      114	       80	      153	      177	       59	      153	      172	       67	      175	      205	       56	      183	      211	       59	      103	       89	      134	      186	      224	       49	
   51.36	      107	      114	       80	      152	      177	       56	      151	      173	       63	      171	      205	       51	      179	      212	       53	      100	       89	      126	      183	      224	       44	
   53.36	      107	      112	       85	      152	      175	       60	      152	      170	       67	      171	      203	       53	      179	      210	       56	       99	       86	      132	      182	      222	       47	
   55.41	      107	      114	       81	      153	      177	       60	      153	      172	       66	      173	      205	       53	      180	      211	       56	      101	       89	      128	      184	      224	       47	
   57.45	      107	      113	       82	      151	      177	       56	      151	      173	       63	      171	      205	       51	      178	      211	       53	       99	       89	      123	      183	      224	       45	
   59.50	      107	      112	       85	      151	      175	       59	      151	      171	       66	      171	      203	       52	      179	      209	       57	       99	       87	      130	      182	      222	       47	
   61.55	      107	      114	       81	      153	      177	       59	      154	      173	       67	      173	      205	       53	      180	      211	       56	      102	       90	      128	      184	      224	       47	
   63.59	      105	      114	       74	      152	      177	       56	      151	      173	       63	      173	      205	       52	      181	      212	       56	      101	       89	      127	      184	      224	       47	
   65.59	      107	      114	       80	      152	      177	       56	      152	      172	       64	      171	      206	       50	      179	      211	       54	       99	       89	      124	      182	      225	       44	
   67.64	      107	      112	       84	      151	      175	       59	      152	      171	       66	      171	      204	       52	      179	      210	       55	       99	       87	      130	      182	      223	       46	
   69.69	      107	      112	       85	      151	      175	       59	      151	      171	       66	      171	      203	       53	      179	      210	       56	      100	       87	      132	      183	      222	       47	
   71.73	      104	      112	       78	      151	      176	       58	      151	      171	       65	      172	      204	       54	      180	      210	       58	      101	       87	      135	      184	      222	       49	
   73.78	      107	      114	       81	      153	      177	       59	      153	      172	       66	      173	      205	       52	      180	      212	       55	      101	       89	      129	      184	      224	       47	
   75.83	      107	      112	       85	      151	      175	       59	      151	      170	       66	      171	      203	       52	      179	      210	       56	       99	       87	      131	      182	      222	       46	
   77.83	      107	      114	       79	      153	      177	       60	      153	      172	       67	      173	      205	       53	      180	      211	       56	      101	       89	      131	      184	      224	       47	
   79.88	      107	      116	       75	      151	      179	       53	      151	      175	       60	      171	      207	       48	      179	      214	       52	       99	       91	      117	      182	      226	       42	
   81.88	      107	      114	       80	      151	      177	       56	      152	      173	       63	      171	      205	       50	      179	      212	       53	       99	       89	      123	      182	      224	       44	
   83.92	      107	      113	       84	      151	      175	       59	      151	      171	       65	      171	      203	       53	      179	      210	       55	      100	       87	      130	      182	      222	       46	
   85.97	      107	      114	       81	      151	      177	       56	      151	      173	       63	      171	      205	       50	      179	      212	       53	       99	       89	      123	      182	      224	       44	
   87.97	      107	      114	       80	      153	      177	       59	      153	      172	       66	      174	      206	       55	      182	      212	       58	      103	       89	      134	      186	      224	       49	
   90.02	      107	      112	       85	      151	      175	       59	      151	      171	       66	      171	      203	       52	      179	      210	       56	       99	       87	      130	      182	      222	       46	
   92.06	      107	      116	       76	      153	      179	       56	      153	      175	       63	      175	      207	       53	      182	      214	       56	      103	       91	      129	      186	      226	       47	
   94.11	      105	      114	       74	      151	      177	       56	      151	      173	       62	      172	      205	       52	      181	      212	       55	      101	       89	      127	      184	      224	       46	
   96.16	      107	      114	       81	      153	      177	       59	      153	      172	       66	      173	      205	       52	      180	      212	       55	      101	       89	      128	      184	      224	       47	
   98.20	      107	      114	       80	      153	      177	       59	      153	      172	       66	      175	      206	       55	      183	      212	       58	      103	       89	      135	      186	      224	       49	
  100.25	      107	      114	       81	      153	      177	       59	      153	      172	       66	      174	      205	       55	      182	      212	       58	      103	       89	      135	      186	      224	       49	
  102.25	      107	      113	       83	      151	      175	       59	      152	      170	       67	      171	      203	       53	      179	      210	       55	       99	       87	      131	      182	      222	       46	
  104.30	      106	      114	       79	      151	      177	       56	      151	      172	       63	      170	      205	       49	      178	      212	       53	       99	       89	      123	      182	      224	       44	
  106.34	      107	      112	       84	      151	      175	       59	      152	      171	       66	      171	      204	       52	      179	      210	       55	       99	       87	      130	      182	      222	       46	
  108.34	      107	      112	       84	      151	      175	       59	      151	      170	       66	      171	      203	       52	      179	      210	       56	       99	       87	      131	      182	      222	       47	
  110.39	      107	      114	       80	      153	      177	       58	      153	      172	       66	      174	      205	       54	      182	      212	       58	      103	       89	      135	      186	      224	       49	
  112.44	      107	      114	       80	      153	      178	       59	      153	      172	       66	      174	      205	       54	      183	      212	       58	      103	       89	      133	      186	      224	       49	
  114.48	      107	      114	       79	      153	      177	       59	      153	      173	       66	      172	      205	       52	      180	      212	       55	      101	       89	      128	      184	      224	       46	
  116.53	      105	      114	       74	      151	      177	       56	      151	      173	       62	      172	      205	       52	      180	      212	       55	      101	       89	      128	      184	      224	       46	
  118.58	      107	      112	       84	      151	      175	       59	      151	      171	       65	      171	      203	       52	      179	      210	       55	       99	       87	      129	      182	      222	       46	
  120.58	      107	      114	       80	      151	      177	       56	      151	      172	       63	      171	      206	       49	      178	      212	       52	       99	       89	      125	      182	      223	       45	
  122.63	      104	      114	       73	      151	      177	       56	      151	      173	       62	      172	      206	       51	      180	      212	       55	      101	       89	      130	      184	      224	       46	
  124.67	      104	      114	       74	      151	      177	       55	      151	      173	       62	      172	      205	       52	      180	      212	       55	      101	       89	      129	      184	      224	       47	
  126.72	      105	      114	       75	      151	      177	       55	      151	      172	       63	      172	      205	       52	      180	      212	       55	      101	       89	      129	      184	      224	       47	
  128.77	      107	      112	       84	      151	      175	       58	      151	      171	       65	      170	      204	       51	      178	      210	       55	       99	       87	      128	      182	      222	       46	
  130.81	      104	      114	       74	      151	      177	       55	      151	      172	       62	      172	      205	       51	      180	      212	       55	      101	       89	      128	      184	      224	       47	
  132.86	      107	      114	       80	      153	      177	       60	      153	      172	       66	      174	      206	       54	      183	      212	       58	      103	       89	      133	      186	      224	       49	
  134.91	      107	      114	       79	      153	      177	       59	      153	      173	       66	      174	      205	       54	      183	      212	       58	      103	       89	      134	      185	      224	       49	
  136.95	      105	      114	       75	      151	      177	       56	      151	      173	       62	      172	      205	       51	      180	      212	       55	      101	       89	      128	      183	      224	       46	
  139.00	      105	      115	       74	      151	      177	       56	      151	      173	       62	      172	      205	       51	      180	      212	       55	      101	       89	      128	      183	      224	       46	
  141.05	      107	      114	       80	      151	      177	       57	      151	      173	       62	      171	      206	       49	      179	      213	       52	       99	       89	      125	      182	      224	       44	
  143.05	      105	      114	       74	      151	      177	       57	      151	      172	       63	      172	      205	       52	      180	      212	       55	      101	       89	      130	      183	      223	       47	
  145.09	      107	      115	       78	      151	      177	       56	      151	      173	       62	      170	      205	       49	      178	      212	       52	       99	       89	      124	      181	      224	       44	
  147.14	      107	      114	       79	      153	      177	       59	      153	      173	       65	      174	      206	       54	      183	      212	       58	      103	       90	      131	      186	      224	       49	
  149.19	      107	      112	       84	      151	      175	       59	      151	      171	       65	      170	      204	       51	      178	      210	       54	       99	       87	      129	      181	      222	       46	
  151.23	      107	      114	       80	      153	      177	       59	      153	      172	       66	      172	      206	       52	      180	      212	       54	      101	       89	      129	      183	      224	       46	
  153.28	      105	      114	       74	      151	      177	       55	      151	      173	       62	      172	      205	       51	      180	      213	       55	      101	       89	      128	      183	      224	       46	
  155.33	      107	      115	       79	      153	      177	       59	      153	      173	       65	      172	      206	       51	      181	      213	       55	      101	       89	      130	      183	      224	       46	
  157.33	      104	      115	       73	      151	      177	       56	      151	      172	       63	      172	      206	       51	      180	      213	       54	      101	       89	      130	      183	      224	       46	
  159.38	      104	      114	       74	      151	      177	       56	      151	      173	       62	      172	      205	       51	      180	      212	       55	      101	       89	      130	      183	      224	       46	
  161.42	      107	      112	       84	      151	      175	       58	      151	      171	       65	      170	      204	       51	      179	      211	       55	       99	       87	      131	      181	      222	       46	
  163.42	      107	      112	       83	      151	      175	       59	      151	      170	       66	      170	      204	       50	      179	      211	       55	       99	       87	      131	      181	      222	       46	
  165.47	      107	      114	       80	      153	      177	       58	      153	      173	       65	      174	      206	       54	      182	      213	       57	      103	       89	      133	      185	      224	       49	
  167.52	      107	      114	       80	      153	      177	       59	      153	      172	       66	      174	      205	       54	      182	      213	       57	      103	       89	      133	      185	      224	       49	
  169.56	      104	      114	       73	      151	      177	       56	      151	      173	       62	      172	      206	       51	      180	      213	       54	      101	       89	      130	      183	      224	       46	
  171.61	      106	      114	       78	      153	      177	       58	      153	      173	       65	      172	      206	       51	      180	      213	       54	      101	       89	      130	      183	      224	       46	
  173.66	      107	      116	       74	      151	      179	       53	      151	      175	       60	      170	      208	       46	      179	      215	       50	       99	       91	      118	      181	      226	       42	
  175.70	      106	      113	       82	      151	      175	       59	      151	      170	       66	      170	      204	       51	      178	      211	       53	       99	       87	      130	      181	      221	       46	
  177.70	      107	      113	       83	      151	      175	       59	      151	      171	       65	      170	      204	       50	      179	      211	       54	       99	       86	      131	      181	      222	       46	
  179.75	      107	      114	       80	      153	      177	       59	      153	      173	       65	      174	      206	       54	      183	      213	       58	      103	       89	      135	      185	      224	       49	
