Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	7	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		425
Number_of_Objects:		7
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	  340[06]	  380[06]	 Ca++[06]	  340[07]	  380[07]	 Ca++[07]	
    0.24	      161	      198	       45	       62	       59	      112	      145	      172	       54	      202	      248	       45	      184	      223	       48	      150	      170	       64	      200	      245	       46	
    2.24	      161	      193	       51	       63	       54	      134	      146	      168	       60	      201	      244	       48	      182	      220	       49	      148	      166	       67	      198	      240	       47	
    4.24	      159	      190	       51	       60	       52	      133	      143	      165	       61	      201	      242	       49	      182	      218	       51	      148	      164	       70	      198	      239	       49	
    6.24	      161	      190	       54	       62	       52	      138	      144	      166	       61	      200	      243	       47	      181	      217	       50	      146	      164	       67	      196	      239	       47	
    8.24	      161	      192	       52	       63	       54	      133	      145	      167	       60	      202	      245	       47	      182	      219	       49	      148	      166	       67	      198	      241	       47	
   10.24	      161	      191	       53	       62	       52	      140	      145	      166	       62	      200	      243	       47	      181	      218	       49	      146	      164	       67	      196	      239	       47	
   12.24	      161	      190	       54	       62	       52	      139	      144	      165	       61	      200	      244	       46	      180	      217	       50	      146	      164	       67	      196	      238	       48	
   14.24	      161	      190	       54	       62	       52	      139	      144	      166	       60	      199	      243	       47	      181	      217	       50	      146	      164	       67	      196	      239	       47	
   16.24	      159	      191	       50	       60	       52	      133	      144	      166	       60	      201	      243	       48	      182	      217	       52	      148	      164	       71	      198	      238	       49	
   18.24	      161	      192	       51	       62	       54	      132	      146	      167	       61	      203	      245	       49	      184	      220	       52	      150	      166	       70	      200	      241	       50	
