Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	6	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		390
Number_of_Objects:		6
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	  340[06]	  380[06]	 Ca++[06]	
    0.24	      217	      308	       23	       69	       61	      127	      199	      247	       42	      264	      345	       33	      253	      336	       31	      135	      146	       78	
    2.24	      217	      308	       23	       69	       61	      126	      202	      247	       45	      267	      346	       35	      258	      335	       34	      139	      146	       85	
    4.24	      218	      308	       23	       69	       62	      125	      199	      248	       42	      264	      345	       33	      254	      336	       31	      135	      146	       77	
    6.24	      218	      308	       23	       69	       61	      127	      201	      248	       44	      268	      346	       35	      258	      335	       34	      139	      145	       86	
    8.24	      217	      308	       23	       69	       61	      127	      199	      248	       42	      264	      345	       33	      253	      335	       32	      136	      146	       78	
   10.24	      218	      309	       23	       69	       61	      129	      199	      248	       41	      264	      346	       33	      254	      336	       32	      136	      146	       78	
   12.24	      218	      309	       23	       69	       61	      125	      199	      248	       41	      264	      345	       33	      255	      336	       32	      136	      146	       78	
   14.24	      216	      309	       22	       67	       61	      121	      200	      248	       42	      266	      345	       34	      256	      336	       33	      137	      146	       82	
   16.24	      217	      309	       22	       69	       61	      126	      199	      248	       41	      264	      346	       33	      255	      336	       32	      136	      146	       79	
   18.28	      218	      309	       23	       69	       61	      127	      199	      248	       41	      264	      345	       33	      254	      338	       31	      136	      146	       79	
   20.28	      218	      311	       22	       69	       63	      120	      199	      250	       39	      264	      347	       33	      255	      339	       31	      136	      148	       75	
   22.33	      219	      309	       23	       69	       62	      124	      199	      248	       41	      264	      345	       33	      254	      337	       32	      136	      146	       79	
   24.33	      217	      308	       22	       67	       62	      117	      199	      248	       42	      267	      346	       35	      256	      336	       33	      138	      146	       83	
   26.33	      221	      310	       24	       71	       61	      133	      201	      248	       44	      267	      346	       34	      257	      336	       33	      138	      146	       83	
   28.38	      218	      309	       23	       69	       61	      126	      199	      248	       41	      265	      345	       34	      254	      337	       31	      136	      146	       79	
   30.38	      216	      309	       22	       67	       62	      120	      200	      248	       43	      267	      345	       35	      256	      336	       33	      138	      146	       83	
   32.38	      218	      310	       23	       69	       61	      127	      199	      248	       42	      265	      345	       34	      254	      336	       32	      136	      146	       79	
   34.38	      219	      307	       24	       69	       60	      135	      199	      246	       43	      265	      344	       35	      254	      334	       33	      136	      144	       82	
   36.38	      218	      311	       22	       69	       63	      117	      199	      250	       39	      265	      348	       33	      254	      338	       31	      136	      148	       75	
   38.38	      218	      307	       24	       69	       59	      136	      199	      246	       43	      265	      343	       35	      254	      334	       32	      136	      144	       82	
   40.42	      218	      307	       23	       69	       60	      134	      198	      246	       42	      265	      344	       34	      255	      334	       33	      136	      144	       82	
   42.42	      217	      309	       22	       67	       61	      119	      200	      248	       42	      267	      346	       35	      257	      337	       33	      138	      146	       82	
