Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	4	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		354
Number_of_Objects:		4
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	
    0.23	       78	       74	      111	      200	      255	       36	      291	      358	       44	      214	      256	       50	
    2.28	       78	       71	      121	      199	      252	       38	      295	      357	       48	      218	      254	       57	
    4.33	       76	       73	      109	      197	      254	       35	      293	      359	       45	      216	      256	       53	
    6.38	       78	       71	      121	      199	      252	       38	      295	      357	       48	      218	      254	       57	
    8.42	       78	       71	      122	      199	      252	       38	      291	      358	       45	      214	      254	       52	
   10.47	       78	       71	      121	      199	      252	       38	      291	      357	       45	      214	      254	       53	
   12.52	       78	       71	      122	      199	      252	       38	      291	      356	       45	      214	      255	       52	
   14.56	       78	       73	      114	      199	      253	       37	      294	      360	       46	      218	      256	       55	
   16.61	       80	       71	      127	      201	      252	       40	      293	      357	       46	      216	      254	       55	
   18.66	       78	       71	      120	      199	      252	       38	      293	      357	       46	      216	      254	       55	
   20.70	       78	       71	      122	      199	      252	       38	      295	      357	       48	      218	      254	       57	
   22.75	       80	       71	      128	      201	      252	       40	      293	      357	       47	      216	      254	       54	
   24.75	       78	       71	      122	      199	      252	       38	      294	      357	       48	      218	      254	       58	
   26.80	       78	       71	      121	      199	      252	       38	      295	      357	       48	      218	      254	       57	
   28.84	       78	       71	      120	      199	      252	       38	      295	      357	       48	      218	      254	       57	
   30.89	       78	       71	      122	      199	      252	       38	      295	      357	       48	      218	      254	       57	
   32.94	       78	       71	      121	      199	      252	       39	      291	      357	       45	      214	      254	       53	
   34.98	       78	       71	      122	      199	      252	       38	      295	      357	       48	      218	      254	       57	
   37.03	       78	       71	      121	      199	      251	       38	      295	      358	       48	      217	      254	       57	
   39.08	       78	       73	      114	      199	      253	       37	      291	      360	       44	      214	      256	       51	
   41.13	       78	       73	      116	      199	      253	       37	      291	      360	       43	      214	      256	       51	
   43.17	       76	       71	      114	      197	      251	       37	      293	      357	       47	      216	      254	       54	
   45.22	       78	       71	      122	      199	      251	       39	      291	      357	       45	      214	      254	       53	
   47.27	       78	       71	      122	      199	      251	       39	      291	      357	       45	      214	      254	       53	
   49.31	       78	       71	      122	      199	      251	       39	      291	      357	       45	      214	      253	       53	
   51.36	       79	       73	      116	      199	      253	       37	      291	      360	       43	      214	      255	       52	
   53.36	       78	       71	      121	      199	      251	       38	      293	      358	       46	      216	      253	       56	
   55.41	       78	       71	      121	      199	      251	       38	      291	      359	       44	      214	      253	       54	
   57.45	       80	       71	      127	      201	      251	       41	      293	      359	       46	      216	      254	       56	
   59.50	       78	       71	      121	      199	      251	       39	      291	      358	       44	      214	      254	       53	
   61.55	       76	       71	      114	      197	      251	       37	      292	      358	       46	      216	      253	       56	
   63.59	       78	       71	      121	      199	      251	       39	      291	      358	       44	      214	      253	       53	
   65.64	       78	       73	      115	      199	      253	       37	      290	      360	       42	      213	      255	       51	
   67.69	       79	       73	      115	      199	      252	       38	      291	      360	       43	      213	      255	       51	
   69.73	       78	       71	      122	      199	      250	       39	      293	      357	       46	      215	      253	       55	
   71.78	       78	       73	      115	      199	      252	       37	      291	      360	       44	      213	      255	       51	
   73.83	       78	       73	      115	      199	      252	       38	      291	      359	       43	      213	      255	       51	
   75.88	       78	       71	      121	      199	      250	       40	      292	      358	       45	      215	      253	       55	
   77.92	       78	       71	      120	      199	      250	       40	      293	      357	       47	      215	      253	       54	
   79.97	       78	       71	      123	      199	      250	       40	      294	      358	       47	      217	      253	       57	
   82.02	       80	       71	      128	      201	      250	       42	      292	      357	       46	      215	      253	       55	
   84.06	       78	       73	      115	      199	      252	       38	      295	      360	       46	      217	      255	       55	
   86.11	       78	       73	      116	      199	      252	       38	      291	      360	       43	      213	      255	       50	
   88.16	       78	       71	      119	      199	      250	       39	      295	      357	       48	      217	      253	       57	
   90.20	       78	       71	      121	      199	      250	       40	      293	      357	       46	      215	      253	       55	
   92.25	       78	       71	      120	      199	      250	       39	      293	      357	       47	      215	      253	       55	
   94.30	       78	       73	      113	      198	      252	       37	      291	      359	       44	      213	      255	       51	
   96.30	       78	       69	      128	      198	      248	       41	      293	      355	       48	      215	      250	       57	
