Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	4	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		301
Number_of_Objects:		4
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	
    0.23	       80	       74	      118	      341	      474	       25	      208	      242	       57	      249	      525	        0	
    2.23	       79	       74	      115	      340	      474	       25	      208	      243	       57	      255	      536	        0	
    4.23	       80	       74	      116	      340	      474	       25	      208	      243	       57	      257	      541	        0	
    6.23	       79	       74	      115	      340	      475	       25	      209	      243	       57	      257	      544	        0	
    8.23	       80	       74	      114	      340	      474	       25	      208	      244	       56	      258	      545	        0	
   10.23	       79	       74	      112	      340	      474	       25	      208	      243	       56	      257	      546	        0	
   12.23	       78	       74	      109	      341	      474	       25	      210	      244	       59	      260	      545	        0	
   14.23	       79	       74	      115	      341	      474	       25	      208	      243	       57	      258	      545	        0	
   16.23	       80	       74	      115	      340	      474	       25	      208	      243	       57	      258	      544	        0	
   18.23	       79	       74	      113	      341	      474	       25	      208	      243	       56	      257	      542	        0	
   20.23	       79	       74	      113	      340	      473	       25	      208	      243	       57	      257	      541	        0	
   22.23	       80	       76	      109	      343	      475	       26	      212	      245	       59	      260	      543	        0	
   24.23	       79	       74	      116	      342	      473	       26	      210	      243	       59	      258	      538	        0	
   26.23	       80	       74	      117	      341	      473	       25	      208	      242	       58	      255	      535	        0	
   28.23	       79	       74	      113	      342	      474	       26	      212	      243	       61	      258	      533	        0	
   30.23	       80	       75	      113	      340	      473	       25	      209	      243	       57	      253	      530	        0	
   32.23	       79	       74	      115	      340	      474	       25	      208	      243	       57	      253	      530	        0	
   34.23	       80	       74	      115	      340	      472	       26	      208	      242	       58	      251	      528	        0	
   36.23	       79	       74	      115	      340	      473	       25	      208	      243	       57	      251	      526	        0	
   38.23	       77	       72	      115	      341	      471	       26	      210	      241	       62	      253	      523	        0	
   40.23	       80	       72	      121	      342	      471	       26	      210	      240	       62	      252	      521	        0	
   42.23	       80	       74	      114	      340	      473	       25	      208	      242	       57	      250	      520	        0	
   44.23	       80	       74	      115	      340	      473	       25	      208	      242	       57	      249	      517	        0	
   46.23	       80	       74	      118	      340	      472	       25	      208	      243	       57	      248	      516	        0	
   48.23	       80	       76	      109	      340	      474	       25	      209	      244	       56	      248	      516	        0	
   50.23	       80	       76	      109	      340	      475	       25	      208	      244	       56	      247	      514	        0	
   52.23	       80	       74	      115	      340	      473	       25	      208	      242	       57	      247	      510	        0	
   54.23	       80	       75	      114	      340	      473	       25	      208	      242	       57	      245	      507	        0	
   56.23	       80	       74	      115	      339	      472	       25	      208	      242	       57	      245	      508	        0	
   58.23	       79	       74	      115	      340	      473	       25	      208	      242	       58	      244	      506	        0	
   60.23	       77	       74	      108	      340	      473	       25	      210	      242	       60	      246	      504	        0	
   62.23	       78	       74	      111	      340	      472	       25	      211	      242	       61	      245	      502	        0	
   64.23	       80	       74	      116	      339	      472	       25	      208	      242	       58	      243	      500	        0	
   66.23	       78	       74	      108	      340	      473	       25	      210	      242	       60	      244	      498	        0	
   68.23	       80	       74	      115	      339	      472	       25	      208	      242	       58	      241	      496	        0	
   70.23	       80	       74	      115	      339	      472	       25	      208	      242	       58	      240	      494	        0	
