Experiment_Code:		127
HEADER_INFORMATION
Dual_Wavelength_Imaging_With_Two_Object_Classes
Object_by_Object_Ratioing
Threshold=0
Red_Objects=	9	Green_Objects=	0
Reserved
Ion:				Ca++
Wavelength_A:			340
Wavelength_B:			380
A_Exposure_Time:		120
B_Exposure_Time:		30
Minimum_Ion_[nMol]:		0.000000
Maximum_Ion_[nMol]:		602.000000
Calibration_Filename:		dw120404#1.CAL
Calibration_A_Exposure_Time:	120.000000
Calibration_B_Exposure_Time:	30.000000
No._of_Calib._Table_Entries:	5
Ca++	Ratio
  0.00	0.572811
 38.00	0.789131
100.00	1.005634
225.00	1.552722
602.00	2.884055
Image_Width:			696
Image_Height:			512
Number_of_Time_Points:		450
Number_of_Objects:		9
Event_Times			0
Horizontal_Binning=2
Vertical_Binning=2
Reserved
DATA_AFTER_THIS_LINE
Time[seconds]	  340[01]	  380[01]	 Ca++[01]	  340[02]	  380[02]	 Ca++[02]	  340[03]	  380[03]	 Ca++[03]	  340[04]	  380[04]	 Ca++[04]	  340[05]	  380[05]	 Ca++[05]	  340[06]	  380[06]	 Ca++[06]	  340[07]	  380[07]	 Ca++[07]	  340[08]	  380[08]	 Ca++[08]	  340[09]	  380[09]	 Ca++[09]	
    0.23	      184	      223	       49	      212	      254	       51	      275	      334	       48	      180	      210	       57	      211	      242	       61	       86	       79	      120	      210	      253	       49	      264	      326	       44	      273	      330	       49	
    2.23	      186	      221	       53	      213	      250	       55	      275	      332	       49	      179	      209	       58	      210	      240	       63	       84	       77	      121	      208	      252	       48	      262	      324	       43	      272	      328	       49	
    4.23	      186	      223	       51	      213	      253	       53	      275	      334	       48	      180	      210	       57	      210	      242	       60	       84	       78	      116	      208	      254	       47	      263	      325	       43	      272	      330	       47	
    6.23	      186	      223	       50	      213	      253	       52	      275	      334	       48	      180	      210	       57	      210	      242	       60	       84	       78	      115	      208	      254	       47	      263	      325	       43	      272	      330	       47	
    8.23	      186	      223	       51	      214	      253	       54	      275	      334	       47	      180	      211	       56	      210	      241	       60	       84	       78	      114	      208	      254	       46	      262	      325	       43	      271	      330	       47	
   10.23	      186	      223	       50	      214	      251	       55	      275	      333	       48	      180	      210	       57	      210	      241	       61	       84	       78	      114	      208	      254	       47	      262	      325	       43	      272	      331	       47	
   12.23	      186	      223	       51	      214	      252	       55	      277	      333	       50	      182	      210	       60	      212	      242	       62	       86	       78	      121	      210	      254	       49	      264	      325	       45	      273	      331	       48	
   14.23	      186	      223	       51	      213	      251	       55	      276	      334	       48	      180	      210	       57	      210	      241	       61	       84	       78	      115	      208	      253	       47	      263	      326	       43	      271	      331	       46	
   16.28	      186	      223	       51	      215	      251	       56	      275	      334	       47	      179	      209	       57	      210	      241	       61	       84	       78	      114	      208	      253	       46	      262	      325	       42	      271	      331	       46	
   18.28	      186	      223	       51	      214	      252	       55	      275	      334	       48	      179	      210	       57	      210	      241	       61	       84	       78	      115	      208	      253	       47	      262	      325	       43	      271	      331	       46	
